Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,H1,Description,Meta Title,Meta Description,Tag Hero Image
Golden Retriever,golden-retriever,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10472433fb72c8e09662,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Posts related to Golden Retriever breed guides and training.</p>,Golden Retriever Blog | Breed Guides | LeashFree.ca,"Learn about Golden Retriever health, training, and care.",
Halifax,halifax,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1046d0ac2faab5aa9ea6,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to dog parks and dog life in Halifax, Canada.</p>",Halifax Dog Blog | Parks & Dog Life | LeashFree.ca,"Explore leash-free dog parks and community dog life in Halifax, Canada.",
Hiking Gear,hiking-gear,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,69066db9cb104dc51ed59759,false,false,Sat Nov 01 2025 20:29:45 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:48:15 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:58:35 GMT+0000 (Coordinated Universal Time),Exploring the Best Hiking Gear for Dogs in Canada,"<p id="""">Canada’s trails are made for dogs who love the great outdoors - and the right <strong id="""">hiking gear</strong> makes every adventure safer and more enjoyable. In this section, you’ll find expert recommendations for hands-free leashes, rugged harnesses, reflective gear, and accessories built for comfort and durability.</p><p id="""">Whether you’re climbing rocky paths in Alberta or exploring forest trails in Ontario, our guides highlight the <strong id="""">best hiking gear for dogs</strong> tested in real Canadian conditions. Find the tools that give you freedom and control while letting your dog explore with confidence.</p>","Best Hiking Gear for Dogs in Canada | Adventure Leashes, Harnesses & More","Discover trail-ready hiking gear for dogs in Canada. From hands-free leashes to durable harnesses, explore our top picks for outdoor adventures.",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69066f25e001e99022a181e8_dog-hiking-gear-canadian-trails.jpg
Labrador Retriever,labrador-retriever,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf104793753c13d750d0ba,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to Labrador Retriever care, training, and suitability.</p>",Labrador Retriever Blog | Breed Guides | LeashFree.ca,"Learn about Labrador Retriever health, training, and care guides.",
Leashes,leashes,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,69066de57cd6438e3ba55d8e,false,false,Sat Nov 01 2025 20:30:29 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:48:36 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:58:35 GMT+0000 (Coordinated Universal Time),"Exploring the Top Dog Leashes in Canada for Hiking, Walking & Training","<p id="""">Choosing the right <strong id="""">dog leash</strong> can transform every walk or hike into a smooth, safe experience. Our leash guides feature a variety of options - from rugged rope styles to hands-free adventure leashes perfect for trail runs.</p><p id="""">Learn which types work best for strong pullers, night walks, or long hikes, and discover durable, Canadian-tested leashes designed to last. Whether you’re exploring your neighborhood or taking your dog on a mountain trek, these guides help you find the perfect leash for your lifestyle.</p>","Best Dog Leashes in Canada | Hands-Free, Rope & Reflective Options",Explore Canada’s best dog leashes - from hands-free hiking leashes to reflective and rope options. Find durable gear trusted by outdoor dog owners.,https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69066fa5edee2607538c4055_best-dog-leashes-canada.jpg
Montreal,montreal,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10465b4de5f66feca17d,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to dog parks and dog life in Montreal, Canada.</p>",Montreal Dog Blog | Parks & Dog Life | LeashFree.ca,Discover Montreal dog parks and dog-friendly lifestyle tips on LeashFree.ca.,
Park Etiquette,park-etiquette,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10468c0f79495015d39a,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Best practices for dog park etiquette in Canada.</p>,Dog Park Etiquette Blog | Off-Leash Tips | LeashFree.ca,Learn the do’s and don’ts of dog park etiquette for a safe off-leash experience.,
Poodle,poodle,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1047d46522cb99363951,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Posts related to Poodle breed guides and grooming tips.</p>,Poodle Blog | Breed Guides & Grooming | LeashFree.ca,"Discover Poodle grooming, care, and breed characteristics.",
Puppy Training,puppy-training,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10476bc9b1d6bbfaac08,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Guides and tips for training puppies.</p>,Puppy Training Blog | Tips & Advice | LeashFree.ca,Learn effective puppy training tips and guides for new dog owners.,
Seasonal,seasonal,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68ea49c8d86f60bfd8817708,false,false,Sat Oct 11 2025 12:12:56 GMT+0000 (Coordinated Universal Time),Sat Oct 11 2025 12:12:56 GMT+0000 (Coordinated Universal Time),Sat Oct 11 2025 12:12:56 GMT+0000 (Coordinated Universal Time),,"<p id="""">Explore how to keep your dog happy and healthy through every season. Whether it’s protecting paws in the winter, enjoying outdoor adventures in the fall, or staying cool in summer, our seasonal posts help you adapt your dog’s care to Canada’s changing weather and festivities.</p>",Dog Care & Holiday Tips | LeashFree.ca,Discover seasonal guides and holiday tips for Canadian dogs - from winter care to Halloween safety and summer fun.,
Senior Dogs,senior-dogs,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1047428f2b40c6307136,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to senior dog care, health, and wellness.</p>",Senior Dogs Blog | Care & Wellness | LeashFree.ca,Discover care tips and wellness advice for senior dogs.,
Socialization,socialization,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68d342cbe1e86a125d9cfd5d,false,false,Wed Sep 24 2025 01:00:59 GMT+0000 (Coordinated Universal Time),Wed Sep 24 2025 01:01:04 GMT+0000 (Coordinated Universal Time),Wed Sep 24 2025 01:18:27 GMT+0000 (Coordinated Universal Time),,"<p id=""""><em id="""">Articles focused on puppy and dog socialization, including how to introduce your pup to new people, environments, and experiences. Learn safe, positive methods to raise a confident, well-adjusted dog.</em></p><p>‍</p>",Dog & Puppy Socialization Tips | LeashFree.ca,"Discover dog and puppy socialization guides. Step-by-step tips to help your pup build confidence, prevent fear, and thrive in any environment.",
Summer Fun,summer-fun,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf104613fadb3882d491aa,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Activities, safety tips, and dog park guides for summer.</p>",Summer Dog Fun Blog | Parks & Activities | LeashFree.ca,"Enjoy summer with your dog using tips, safety advice, and fun park activities.",
Toronto,toronto,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf104657a82e1ae3c8e825,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to dog parks and dog life in Toronto, Canada.</p>",Toronto Dog Blog | Parks & Dog Life | LeashFree.ca,"Discover dog parks, breed guides, and dog-friendly activities in Toronto with LeashFree.ca.",
Training Tips,training-tips,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10470b4d532a59867c28,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Dog training and behavior advice for owners.</p>,Dog Training Tips Blog | Behavior & Recall | LeashFree.ca,Improve your dog’s behavior and recall with expert training tips.,
Travel with Dogs,travel-with-dogs,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf104640e3c6b6f915efc9,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Guides for road trips and travel with dogs across Canada.</p>,Travel with Dogs Blog | Road Trips & Guides | LeashFree.ca,Plan safe and fun Canadian road trips with your dog with our travel guides.,
Vancouver,vancouver,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1046d2487bfd986e53b6,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,"<p>Posts related to dog parks and dog life in Vancouver, Canada.</p>",Vancouver Dog Blog | Parks & Dog Life | LeashFree.ca,"Explore dog parks and guides for dog owners in Vancouver, Canada.",
Winter Safety,winter-safety,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10469ccc49fcf272843e,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Tips and guides for keeping dogs safe during Canadian winters.</p>,Winter Dog Safety Blog | Cold Weather Tips | LeashFree.ca,Learn how to keep your dog safe and happy during the Canadian winter season.,
