Business Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Category,Province,City,Street Address,Latitude,Longitude,Primary Website URL,Affiliate URL,Phone,Email,Instagram URL,Facebook URL,Google Maps Link,Short Description,Long Description,Hours,Service Tags,Featured Image,Gallery,Feature Rank,CTA Label,SEO Title,Meta Description,OG Title,OG Description
Burlington Veterinary Emergency & Referral Hospital,burlington-veterinary-emergency-and-referral-hospital,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fcc378d884b182c5d93604,false,false,Sat Oct 25 2025 12:32:56 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 14:22:07 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:29:59 GMT+0000 (Coordinated Universal Time),veterinarians,on,burlington,"775 Woodview Rd, Burlington, Ontario L7N 3S1",43.35652,-79.78458,https://www.bverh.com/,,(905) 637-8111,,,,https://www.google.com/maps?q=775%20Woodview%20Rd%2C%20Burlington%2C%20Ontario%20L7N%203S1,Emergency and specialty veterinary hospital serving Burlington and the Halton region.,"<p id=""""><strong id="""">Burlington Veterinary Emergency &amp; Referral Hospital</strong> offers 24/7 emergency care and specialty services (e.g., cardiology, dentistry, neurology, surgery) for pets across Burlington and the Halton region.</p>",<p>Emergency: 24/7; Specialty: Weekdays by appointment</p>,,,,100,Visit Website,"Burlington Veterinary Emergency & Referral Hospital – Emergency Vet in Burlington, Ontario",Emergency and specialty veterinary hospital in Burlington serving pets and primary care veterinarians across Halton.,Burlington Veterinary Emergency & Referral Hospital,Emergency and specialty veterinary care for pets in Burlington and the Halton region.
Burloak Animal Hospital,burloak-animal-hospital,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,69023d48ef3662512a6c1195,false,false,Wed Oct 29 2025 16:14:00 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 16:19:55 GMT+0000 (Coordinated Universal Time),Fri Oct 31 2025 12:48:19 GMT+0000 (Coordinated Universal Time),veterinarians,on,oakville,"627 Burloak Drive, Oakville, Ontario L6L 6T8",43.38690,-79.73694,https://www.vetpet.com/,,1 (905) 827-4100,mailto:info@vetpet.com,https://instagram.com/burloakanimalhospital,https://facebook.com/BurloakAnimalHospital,"https://www.google.com/maps?q=627+Burloak+Drive,+Oakville,+Ontario+L6L+6T8","Full-service veterinary hospital in Oakville offering preventive medicine, diagnostics, surgery, and emergency care for dogs and cats.","<div data-rt-embed-type='true'><p><strong>Burloak Animal Hospital</strong> provides comprehensive veterinary care for pets in Oakville and Burlington, including preventive health exams, diagnostics, dentistry, and soft-tissue and orthopedic surgery. The hospital also offers emergency care during extended hours and emphasizes a Fear Free environment to reduce pet anxiety.</p><p>With a team of experienced veterinarians and support staff, Burloak Animal Hospital delivers compassionate, modern veterinary medicine with personalized attention for every pet.</p><p><em>Information verified via the clinic’s official website.</em></p></div>",<p>Mon – Fri: 8:00 AM – 8:00 PM</p><p>Sat: 8:00 AM – 5:00 PM</p><p>Sun: 9:00 AM – 3:00 PM</p>,,,,,Visit Website,"Burloak Animal Hospital – Veterinarian in Oakville, Ontario","Burloak Animal Hospital in Oakville provides full-service veterinary care, surgery, and emergency services for dogs and cats.",Burloak Animal Hospital | Oakville Vet Clinic,Full-service veterinary care and emergency services for pets in Oakville and Burlington.
Credit Valley Animal Hospital,credit-valley-animal-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928ab401086e2384f5f635e,false,false,Thu Nov 27 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"5030 Satellite Drive, Building D Unit 3, Mississauga, Ontario L4W 0E3",,,https://vcacanada.com/creditvalley,,(905) 826-1881,,,,https://www.google.com/maps?q=5030%20Satellite%20Drive%2C%20Building%20D%20Unit%203%2C%20Mississauga%2C%20Ontario%20L4W%200E3,"VCA Canada hospital near Satellite Drive offering wellness care, surgery, diagnostics, and extended hours for Mississauga pets.","<p id=""""><strong id="""">Credit Valley Animal Hospital</strong> is part of the VCA Canada network and provides full-service veterinary care for dogs and cats in east Mississauga. Located on Satellite Drive, the hospital offers wellness and vaccination programs, internal medicine, surgery, diagnostics, dentistry, and pharmacy services under one roof. With extended weekday and weekend hours, the clinic is designed to make veterinary care more accessible for busy pet owners. As a VCA hospital, Credit Valley Animal Hospital also connects clients with additional resources, including tele-triage support and access to a wider network of veterinary expertise.</p><p id="""">(Information verified via Credit Valley Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Credit Valley Animal Hospital – Veterinarian in Mississauga,"Credit Valley Animal Hospital in Mississauga, part of VCA Canada, provides wellness care, surgery, dentistry, and diagnostic services for local dogs and cats.",Credit Valley Animal Hospital | Mississauga Vet Clinic,"Discover Credit Valley Animal Hospital, a VCA Canada veterinary hospital offering full-service care and extended hours for pets in Mississauga."
Derry Heights Animal Hospital,derry-heights-animal-hospital-milton,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928a7a894b17b9a41a6d893,false,false,Thu Nov 27 2025 19:34:00 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:34:31 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:35:19 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"6941 Derry Road, Unit B05, Milton, Ontario L9T 7H5",43.496007,-79.872974,https://www.derryheightsanimalhospital.com/,,(905) 878-1060,derryheightsvet@gmail.com,,,https://www.google.com/maps?q=6941%20Derry%20Road%20Unit%20B05%20Milton%20Ontario%20L9T%207H5,"Full-service veterinary clinic in west Milton providing medical, surgical, and preventive care for dogs and cats.","<p id=""""><strong id="""">Derry Heights Animal Hospital</strong> is a companion-animal practice in west Milton offering full-service veterinary care for dogs and cats. The team provides wellness exams, vaccinations, diagnostics, dentistry, surgery, and ongoing preventive care to support every stage of a pet’s life. Located in the Derry Heights Plaza, the clinic focuses on clear communication with pet owners so they understand diagnoses, treatment options, and home care. Derry Heights Animal Hospital welcomes both long-time clients and new pet families looking for a neighbourhood vet in Milton.</p><p id="""">(Information verified via Derry Heights Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Derry Heights Animal Hospital – Veterinarian in Milton,"Derry Heights Animal Hospital in Milton, Ontario provides full-service veterinary care, including exams, diagnostics, surgery, and preventive care for dogs and cats.",Derry Heights Animal Hospital | Milton Vet Clinic,"Learn about Derry Heights Animal Hospital, a full-service veterinary clinic in west Milton offering medical, surgical, and preventive care for local pets."
Dog Tales Rescue and Sanctuary,dog-tales-rescue-and-sanctuary,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fbd9b082273808a4e42c82,false,false,Fri Oct 24 2025 19:55:28 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 14:23:34 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:29:59 GMT+0000 (Coordinated Universal Time),animal-shelters-and-rescues,on,king-city,"1405 19th Sideroad, King City, Ontario L7B 1K5",43.9533,-79.5888,https://www.dogtales.ca,,1 (905) 713-1887,info@dogtales.ca,,,,"A dog and horse sanctuary providing rescue, rehabilitation, and adoption in a serene country setting.","<p>Dog Tales Rescue and Sanctuary in King City offers a safe haven for rescued dogs and horses from across Canada and abroad. Set on a picturesque property, this organization focuses on rehabilitation, medical care, and adoption, ensuring every animal receives compassion and dignity. Their luxurious yet nurturing environment helps animals recover emotionally and physically before finding permanent homes. (Information verified via Dog Tales official website.)</p>",<p>Sunday 11 AM – 5 PM (Adoptions by appointment; closed Monday–Saturday)</p>,,https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68fbdb7e622bcfee55cf291c_volunteer-walking-three-rescue-dogs-toward-camera-at-ontario-animal-sanctuary.jpg,,0,Visit Website,"Dog Tales Rescue and Sanctuary – Dog Rescue in King, Ontario","Discover Dog Tales Rescue and Sanctuary in King, Ontario — a peaceful haven offering rehabilitation and adoption for dogs and horses in need.",,
East Plains Animal Hospital,east-plains-animal-hospital-burlington,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fcc378da14ca2b451642e2,false,false,Sat Oct 25 2025 12:32:56 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 14:21:55 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:29:59 GMT+0000 (Coordinated Universal Time),veterinarians,on,burlington,"645 Plains Road East, Burlington, Ontario L7T 4J5",43.32286,-79.83212,https://www.eastplainsanimalhospital.ca/,,(905) 335-0043,info@eastplainsanimalhospital.ca,,https://www.facebook.com/eastplainsah/,https://www.google.com/maps?q=645%20Plains%20Road%20East%2C%20Burlington%2C%20Ontario%20L7T%204J5,"Local veterinary clinic in Aldershot offering preventive care, surgery and client education.","<p id=""""><strong id="""">East Plains Animal Hospital</strong> is a full‑service, independently owned clinic providing preventive medicine, surgery and client education for dogs, cats and pocket pets.</p>","<p id="""">Mon–Thu: 8:00 AM – 8:00 PM; Fri: 8:00 AM – 6:00 PM</p>",,,,100,Visit Website,"East Plains Animal Hospital – Veterinarian in Burlington, Ontario","Community veterinary clinic in Aldershot providing preventive care, surgery and pet health guidance.",East Plains Animal Hospital | Burlington,Compassionate veterinary care for dogs and cats in Burlington’s Aldershot community.
Eatonville Animal Hospital,eatonville-animal-hospital,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928bed7e508b3735b9a0cd3,false,false,Thu Nov 27 2025 21:12:55 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 21:12:55 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,etobicoke,"5168 Dundas Street West, Etobicoke, Ontario M9A 1C4",,,https://evvet.ca/,,(416) 231-3167,,,,https://www.google.com/maps?q=5168%20Dundas%20Street%20West%2C%20Etobicoke%2C%20Ontario%20M9A%201C4,Veterinary hospital offering full-service pet care in Eatonville.,"<p id=""""><strong id="""">Eatonville Animal Hospital</strong> provides medical, surgical, and preventive care for dogs and cats in the Eatonville community of Etobicoke. (Information verified via Eatonville Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Eatonville Animal Hospital – Veterinarian in Etobicoke,"Eatonville Animal Hospital offers exams, treatment, and surgical services for pets in Etobicoke.",Eatonville Animal Hospital | Etobicoke Vet Clinic,"Learn about Eatonville Animal Hospital, providing veterinary care for local pets."
Eglinton-Hwy 10 Veterinary Clinic,eglinton-hwy-10-veterinary-clinic-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928af0712403149241be0ca,false,false,Thu Nov 27 2025 20:05:27 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:32:45 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"295 Eglinton Avenue East, Unit 11, Mississauga, Ontario L4Z 3K6",,,https://eglintonhwy10vet.com/,,(905) 890-7964,eglintonhwy10vet@gmail.com,,,https://www.google.com/maps?q=295%20Eglinton%20Avenue%20East%2C%20Unit%2011%2C%20Mississauga%2C%20Ontario%20L4Z%203K6,Full-service veterinary clinic near Eglinton Avenue and Highway 10 providing care for dogs and cats.,"<p id=""""><strong id="""">Eglinton-Hwy 10 Veterinary Clinic</strong> offers veterinary services for dogs and cats in central Mississauga near Eglinton Avenue and Hurontario Street. The clinic provides wellness exams, vaccinations, diagnostics, surgery, dentistry, and urgent care, with an emphasis on client education and preventive medicine.</p><p id="""">(Information verified via Eglinton-Hwy 10 Veterinary Clinic official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Eglinton-Hwy 10 Veterinary Clinic – Veterinarian in Central Mississauga,"Eglinton-Hwy 10 Veterinary Clinic provides wellness, medical, and surgical care for dogs and cats in central Mississauga near Eglinton and Hurontario.",Eglinton-Hwy 10 Veterinary Clinic | Central Mississauga Vet,"Learn about Eglinton-Hwy 10 Veterinary Clinic, a full-service animal hospital serving pets in central Mississauga."
Erin Mills Pet Hospital,erin-mills-pet-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928af0743b922acd74a8f9f,false,false,Thu Nov 27 2025 20:05:27 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:32:45 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"2400 Dunwin Drive, Mississauga, Ontario L5L 1J9",,,https://erinmillsvet.ca/,,(905) 828-9691,erinmillspethospital@gmail.com,,,https://www.google.com/maps?q=2400%20Dunwin%20Drive%2C%20Mississauga%2C%20Ontario%20L5L%201J9,"Full-service veterinary hospital in Erin Mills providing medical, surgical, and preventive care for dogs and cats.","<p id=""""><strong id="""">Erin Mills Pet Hospital</strong> offers comprehensive veterinary care for dogs and cats in the Erin Mills area of Mississauga. Services include wellness exams, vaccinations, diagnostics, surgery, dentistry, and ongoing preventive care to support pets at every life stage. The hospital focuses on practical, compassionate medicine and clear communication with pet owners.</p><p id="""">(Information verified via Erin Mills Pet Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Erin Mills Pet Hospital – Veterinarian in Erin Mills Mississauga,"Erin Mills Pet Hospital provides full-service veterinary care including wellness exams, surgery, and dentistry for dogs and cats in the Erin Mills community of Mississauga.",Erin Mills Pet Hospital | Erin Mills Mississauga Vet Clinic,"Learn about Erin Mills Pet Hospital, a full-service veterinary hospital caring for dogs and cats in Erin Mills, Mississauga."
Erindale Animal Hospital,erindale-animal-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928ab4030a81b4121651fbd,false,false,Thu Nov 27 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"4040 Creditview Road, Unit 27, Mississauga, Ontario L5C 3Y8",,,https://www.erindaleanimalclinic.com/,,(905) 232-8383,,,,https://www.google.com/maps?q=4040%20Creditview%20Road%2C%20Unit%2027%2C%20Mississauga%2C%20Ontario%20L5C%203Y8,"Neighbourhood veterinary clinic in Erindale offering wellness care, diagnostics, and surgery for dogs and cats.","<p id=""""><strong id="""">Erindale Animal Hospital</strong> is a companion animal clinic located in the Creditview and Dundas area, providing veterinary care for dogs and cats in central Mississauga. The practice offers routine wellness and vaccination visits, internal medicine, surgery, diagnostics, and dental care, supported by an experienced veterinary team. Erindale Animal Hospital emphasizes a family-style approach to care, working with owners to develop treatment plans that fit each pet’s health needs and home environment. The clinic welcomes new patients and provides convenient parking and access for nearby neighbourhoods.</p><p id="""">(Information verified via Erindale Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Erindale Animal Hospital – Veterinarian in Mississauga,"Erindale Animal Hospital in Mississauga provides wellness exams, diagnostics, surgery, and dental care for dogs and cats in the Creditview and Erindale areas.",Erindale Animal Hospital | Mississauga Vet Clinic,"Discover Erindale Animal Hospital, a neighbourhood veterinary clinic offering full-service medical and preventive care for pets in central Mississauga."
Etobicoke Veterinary Hospital,etobicoke-veterinary-hospital,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928b8ec225fe9917ed77763,false,false,Thu Nov 27 2025 20:47:40 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:47:40 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,etobicoke,"1972 Kipling Avenue, Etobicoke, Ontario M9W 4J5",,,https://www.etobicokevethospital.com/,,(416) 745-4700,,,,https://www.google.com/maps?q=1972%20Kipling%20Avenue%2C%20Etobicoke%2C%20Ontario%20M9W%204J5,Longstanding veterinary hospital providing full-service medical and surgical care.,"<p id=""""><strong id="""">Etobicoke Veterinary Hospital</strong> offers comprehensive veterinary care including wellness exams, diagnostics, surgery, and preventive services for local pets. (Information verified via Etobicoke Veterinary Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Etobicoke Veterinary Hospital – Veterinarian in Etobicoke,"Etobicoke Veterinary Hospital provides medical, surgical, and preventive veterinary care for pets in Etobicoke.",Etobicoke Veterinary Hospital | Etobicoke Vet Clinic,"Learn about Etobicoke Veterinary Hospital, offering full-service veterinary care for local pets."
Glen Erin Animal Hospital,glen-erin-animal-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928af0825eb2ae014e51e07,false,false,Thu Nov 27 2025 20:05:28 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:32:45 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"2111 Dunwin Drive, Unit 3, Mississauga, Ontario L5L 3C1",,,https://glenerinanimalhospital.com/,,(905) 822-9974,,,,https://www.google.com/maps?q=2111%20Dunwin%20Drive%2C%20Unit%203%2C%20Mississauga%2C%20Ontario%20L5L%203C1,AAHA-accredited veterinary hospital in Erin Mills offering comprehensive care for dogs and cats.,"<p id=""""><strong id="""">Glen Erin Animal Hospital</strong> provides veterinary services for pets in central Mississauga and Erin Mills, including wellness care, diagnostics, dentistry, and surgery. The hospital is part of a multi-clinic team with Meadowvale Animal Clinic and is known for AAHA-accredited standards and a focus on client communication.</p><p id="""">(Information verified via Glen Erin Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Glen Erin Animal Hospital – Veterinarian in Erin Mills Mississauga,"Glen Erin Animal Hospital offers AAHA-level veterinary care including wellness, dentistry, and surgery for pets in Erin Mills and central Mississauga.",Glen Erin Animal Hospital | Erin Mills Mississauga Vet Clinic,"Learn about Glen Erin Animal Hospital, an AAHA-accredited veterinary hospital serving dogs and cats in Erin Mills, Mississauga."
Halton Peel Animal Hospital,halton-peel-animal-hospital-milton,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928a7a8a9782b5fda255e6f,false,false,Thu Nov 27 2025 19:34:00 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:34:00 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:35:19 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"1093 Lower Base Line W, Milton, Ontario L9E 0H6",,,http://www.haltonpeelanimalhospital.com/,,(905) 693-0507,,,,https://www.google.com/maps?q=1093%20Lower%20Base%20Line%20W%20Milton%20Ontario%20L9E%200H6,"Rural veterinary clinic on Lower Base Line providing medical care, preventive services, and guidance for pets in the Milton area.","<p id=""""><strong id="""">Halton Peel Animal Hospital</strong> is a veterinary clinic located on Lower Base Line West, serving pet owners in Milton and the surrounding rural communities. The clinic provides general medical care, preventive checkups, vaccinations, and treatment for a range of conditions affecting dogs and cats. With a practical, farm-informed approach to animal health, the team focuses on thorough examinations and clear advice so owners can make informed decisions about their pets’ care. Halton Peel Animal Hospital works with clients to develop long-term health plans that address lifestyle, diet, and changing needs as pets age.</p><p id="""">(Information verified via Halton Peel Animal Hospital official website and public business listings.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Halton Peel Animal Hospital – Veterinarian in Milton,"Halton Peel Animal Hospital in Milton, Ontario offers veterinary care, preventive services, and health guidance for dogs and cats in rural and suburban areas.",Halton Peel Animal Hospital | Milton Vet Clinic,"Learn about Halton Peel Animal Hospital, a Lower Base Line veterinary clinic providing medical and preventive care for pets in Milton and nearby communities."
Hamilton/Burlington SPCA,hamilton-burlington-spca,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fbddde4ce0a0ae80aea22b,false,false,Fri Oct 24 2025 20:13:18 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 20:15:35 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 22:37:27 GMT+0000 (Coordinated Universal Time),animal-shelters-and-rescues,on,hamilton,"245 Dartnall Road, Hamilton, Ontario L8W 3V9",43.1986,-79.8192,https://www.hbspca.com/,,1 (905) 574-7722,info@hbspca.com,,,,"Provides shelter, adoption, and education services for animals across Hamilton and Burlington.","<p>The Hamilton/Burlington SPCA is a trusted community organization that protects and enhances the quality of life for animals in the region. Through its adoption, education, and animal welfare programs, the HBSPCA helps pets find safe, loving homes while promoting responsible pet ownership. The shelter also offers veterinary care, humane education, and community support initiatives that keep pets and families together. (Information verified via Hamilton/Burlington SPCA official website.)</p>","<p>Tuesday–Friday 12 PM – 6 PM, Saturday–Sunday 11 AM – 4 PM, closed Mondays.</p>",,https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68fbde57e77929cf0511a41c_volunteer-with-happy-rescue-dog-at-hamilton-burlington-spca.jpg,,0,Visit Website,Hamilton/Burlington SPCA – Dog Adoption & Rescue in Hamilton,"Find adoptable dogs and animal care services at the Hamilton/Burlington SPCA, helping pets across Hamilton and Burlington find safe and loving homes.",,
Hawkins Animal Hospital,hawkins-animal-hospital,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,69289f4a8ee23c760da9647a,false,false,Thu Nov 27 2025 18:58:18 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 18:58:21 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:35:19 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"95 Main Street East, Milton, Ontario L9T 1N4",43.51875,-79.87412,https://hawkinsanimalhospital.com/,,1 (905) 875-6888,mailto:info@hawkinsanimalhospital.com,https://www.instagram.com/hawkinsanimalhospital/,https://www.facebook.com/HawkinsAnimalHospital/,"https://www.google.com/maps?q=95+Main+Street+East,+Milton,+Ontario+L9T+1N4","Compassionate veterinary clinic in Milton offering preventive medicine, diagnostics, surgery, and dental care for dogs and cats.","<div data-rt-embed-type='true'><p><strong>Hawkins Animal Hospital</strong> provides full-service veterinary care in Milton, including wellness exams, diagnostics, dentistry, and surgery for dogs and cats. Their experienced team focuses on preventive health and client education to ensure every pet receives the best possible care.</p>
<p>Conveniently located on Main Street East, Hawkins Animal Hospital is dedicated to delivering compassionate, personalized veterinary services to the local community.</p>
<p><em>Information verified via the clinic’s official website.</em></p></div>",<p>Mon – Fri: 8:00 AM – 6:00 PM</p><p>Sat: 8:00 AM – 12:00 PM</p><p>Sun: Closed</p>,,,,,Visit Website,"Hawkins Animal Hospital – Veterinarian in Milton, Ontario","Hawkins Animal Hospital offers preventive, surgical, and dental care for dogs and cats in Milton. Trusted local veterinary clinic focused on pet wellness.",Hawkins Animal Hospital | Milton Vet,"Full-service veterinary care for dogs and cats in Milton. Compassionate, personalized, and community-focused."
Hawkins Animal Hospital,hawkins-animal-hospital-milton,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928a89982d4b6d48eb27068,false,false,Thu Nov 27 2025 19:38:01 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"95 Main Street East, Milton, Ontario L9T 1N4",,,https://hawkinsanimalhospital.com/,,(905) 875-6888,hawkinsanimalhospital@cogeco.net,https://www.instagram.com/hawkinsanimalhospital/,https://www.facebook.com/HawkinsAnimalHospital/,https://www.google.com/maps?q=95%20Main%20Street%20East%20Milton%20Ontario%20L9T%201N4,"Full-service veterinary hospital in downtown Milton providing medical, surgical, and preventive care for dogs and cats.","<p id=""""><strong id="""">Hawkins Animal Hospital</strong> is a full-service veterinary clinic located on Main Street East in downtown Milton. The hospital provides comprehensive care for dogs and cats, including wellness exams, vaccinations, diagnostics, dentistry, and a range of surgical procedures. With more than two decades of service to Milton and nearby communities such as Acton, Campbellville, North Oakville, and North Burlington, the team focuses on up-to-date diagnostics and tailored wellness plans for every pet. Hawkins Animal Hospital welcomes new clients and works closely with families to explain treatment options and day-to-day home care.</p><p id="""">(Information verified via Hawkins Animal Hospital official website and local business listings.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Hawkins Animal Hospital – Veterinarian in Milton,"Hawkins Animal Hospital in downtown Milton, Ontario offers full-service veterinary care, including wellness exams, surgery, dentistry, and preventive services for dogs and cats.",Hawkins Animal Hospital | Milton Vet Clinic,"Learn about Hawkins Animal Hospital, a downtown Milton veterinary hospital providing medical, surgical, and preventive care for local dogs and cats."
Heartland Pet Hospital,heartland-pet-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928ab405daf592090ea70fa,false,false,Thu Nov 27 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"6085 Creditview Road, Unit 20, Mississauga, Ontario L5V 2A8",,,https://www.heartlandpethospital.com/,,(905) 501-1514,,,,https://www.google.com/maps?q=6085%20Creditview%20Road%2C%20Unit%2020%2C%20Mississauga%2C%20Ontario%20L5V%202A8,"Neighbourhood pet hospital in the Heartland area providing wellness, surgery, dentistry, and behaviour support for dogs and cats.","<p id=""""><strong id="""">Heartland Pet Hospital</strong> is a companion animal hospital located in the Heartland Town Centre area of Mississauga. The clinic offers a full range of veterinary services for dogs and cats, including vaccinations, diagnostics, surgery, dentistry, and support for behavioural and nutritional concerns. Heartland’s team emphasizes client education and collaborative care, helping owners understand their pet’s condition and the options available. Conveniently situated near major shopping routes, Heartland Pet Hospital serves families across north-central Mississauga.</p><p id="""">(Information verified via Heartland Pet Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Heartland Pet Hospital – Veterinarian in Mississauga,"Heartland Pet Hospital in Mississauga provides veterinary services for dogs and cats, including wellness care, diagnostics, surgery, dentistry, and behaviour support.",Heartland Pet Hospital | Mississauga Vet Clinic,"Learn about Heartland Pet Hospital, a neighbourhood veterinary clinic offering comprehensive medical and preventive care for pets in the Heartland area of Mississauga."
