priority,collection,item_name,item_slug,field_name,current_page_path,original_webflow_url,current_status,reason,owner_action_needed
"recommended_before_launch","Dog Breeds","Kuvasz","kuvasz","Featured Image","/dog-breeds/kuvasz/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d7208c14a43e6ce6c7bb44_korean-jindo-dog-forest-trail-portrait-leashfree.avif","missing / none","No source media file matched this tracker row.","Provide media if available; placeholder is acceptable for preview."
"recommended_before_launch","Dog Breeds","Portuguese Water Dog","portuguese-water-dog","Featured Image","/dog-breeds/portuguese-water-dog/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68a22e86fb7309f199442ecd_portuguese-water-dog-breed-sitting-on-forest-path.avif","missing / none","No source media file matched this tracker row.","Provide media if available; placeholder is acceptable for preview."
"owner_review_needed","Blog Categories","Health & Wellness","health-wellness","Thumbnail Image (Image, optional)","/blog/category/health-wellness/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0b14071bc0395063ade2_Dog%20with%20Canadian%20flag%20bandana%20at%20park%20(2880x1488","review_required / low","Best source match scored 32: partial original Webflow filename. Low confidence match requires owner review before copying.","Review candidate match before production confidence is raised."
"owner_review_needed","Blog Categories","Lifestyle & Community","lifestyle-community","Thumbnail Image (Image, optional)","/blog/category/lifestyle-community/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0cbbc7c5626a9d251a54_Dog%20with%20Canadian%20flag%20bandana%20at%20park%20(2880x1488","review_required / low","Best source match scored 32: partial original Webflow filename. Low confidence match requires owner review before copying.","Review candidate match before production confidence is raised."
"safe_to_launch_with_placeholder","Blog Categories","Dog Names","dog-names","Thumbnail Image (Image, optional)","/blog/category/dog-names/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0830fc36f27098a4aaa8_Cute%20puppy%20with%20name%20tag%20(2880x1488","published / medium","Copied but retained for launch review because confidence is not high or owner review is flagged.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Blog Categories","Dog Parks","dog-parks","Thumbnail Image (Image, optional)","/blog/category/dog-parks/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bef84a071bc039505c4fdd_Wide%20shot%20of%20dogs%20running%20in%20a%20fenced%20park%20(2880x1488","review_required / medium","Best source match scored 52: slug in filename, item name in filename. Medium confidence match has competing candidates and was not copy eligible.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Blog Categories","Training & Behavior","training-behavior","Thumbnail Image (Image, optional)","/blog/category/training-behavior/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0a2fb342dbb8fe3a4532_Dog%20training%20with%20treat%20in%20a%20park%20(2880x1488","published / medium","Copied but retained for launch review because confidence is not high or owner review is flagged.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","City Pages","Burlington","burlington","Hero Image","/dog-parks/burlington/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6882c60d9cece3cec5b302f0_burlington-ontario-dog-parks-directory-graphic.avif","published / medium","Copied but retained for launch review because confidence is not high or owner review is flagged.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","City Pages","St. Catharines","st-catharines","Hero Image","/dog-parks/st-catharines/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841b0c956d42a7007cfd0d1_st-catherines-dog-parks.jpg","published / medium","Copied but retained for launch review because confidence is not high or owner review is flagged.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Breeds","Weimaraner","weimaraner","Grooming","/dog-breeds/weimaraner/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/687bb47826a01a43bc38b246_weimaraner-grooming-checklist-infographic.jpg","review_required / medium","Best source match scored 54: slug in filename, item name in filename, collection prefix. Medium confidence match has competing candidates and was not copy eligible.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Andy Livingstone","andy-livingstone-dog-park","Media","/dog-parks/andy-livingstone-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Andy Livingstone","balaclava-dog-park","Media","/dog-parks/andy-livingstone-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Bayview Park","bayview-park","Media","/dog-parks/bayview-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6839fed3cc1d4f6c27cc82b4_bayview-park-burlington-on.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Bonavista","bonavista","Media","/dog-parks/bonavista/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1ddd99d4134a28d49bb1_bonavista-off-leash-area-calgary-leash-free-dog-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Bowmont Park","bowmont-park","Media","/dog-parks/bowmont-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5d67de0a388c0cb03029_bowmont-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Bronte Creek Provincial Park","bronte-creek-provincial-park","Media","/dog-parks/bronte-creek-provincial-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68404b340b29131142ce3cf5_bronte-creek-provincial-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Burgoyne Woods Leash-Free Dog Park","burgoyne-woods-park","Media","/dog-parks/burgoyne-woods-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841e52e25871381dc760c35_Burgoyne%20Woods%20dog%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Burrard View Park","burrard-view-dog-park-vancouver","Media","/dog-parks/burrard-view-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Cassels Avenue Playground","cassels-avenue-playground","Media","/dog-parks/cassels-avenue-playground/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6842df1a4eaff16e4dd77650_A%20dog%20enjoying%20the%20Dogs%20Off-Leash%20Area%20at%20Cassels%20Avenue%20Playground..jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Central Park","central-park","Media","/dog-parks/central-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Charleson Park","charleson-dog-park","Media","/dog-parks/charleson-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Colin Alton Parkette","colin-alton-parkette","Media","/dog-parks/colin-alton-parkette/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a01d98e772167f18a4d16_Colin%20Alton%20Parkette%20%E2%80%93%20Leash-Free%20Dog%20Area.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Community Common","community-common","Media","/dog-parks/community-common/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b325d245de2f3ad4139b_Community%20Common.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Coopers' Park","coopers-dog-park","Media","/dog-parks/coopers-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6130c1a241f2ffa462_weimaraners-in-sunny-dog-park-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Coxwell Ravine Park","coxwell-ravine-park","Media","/dog-parks/coxwell-ravine-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841f3735fe1217bd1edde3c_Coxwell%20Ravine%20Park%20(Leash-Free%20Dog%20Area","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","CRAB Park at Portside","crab-park-at-portside-dog-park","Media","/dog-parks/crab-park-at-portside-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Dale Hodges Park","dale-hodges-park","Media","/dog-parks/dale-hodges-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5eb23c874a2bf97a52b0_dale-hodges-park-sign-with-dog.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Deer Ridge Park","deer-ridge-park","Media","/dog-parks/deer-ridge-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1d7300277777e67f1034_deer-ridge-off-leash-area-calgary-leash-free-dog-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Devonian Harbour","devonian-harbour-dog-park","Media","/dog-parks/devonian-harbour-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Dusty Greenwell Park","dusty-greenwell-dog-park-vancouver","Media","/dog-parks/dusty-greenwell-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Edworthy Park","edworthy-park","Media","/dog-parks/edworthy-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5cabcca84f4da818e8d3_Edworthy%20Park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Emery Barnes","emery-barnes-dog-park","Media","/dog-parks/emery-barnes-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Etobicoke Valley Dog Park","etobicoke-valley-dog-park","Media","/dog-parks/etobicoke-valley-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840a03860a5f67a96d91b4e_Etobicoke%20Valley%20Dog%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Everett Crowley","everett-crowley-dog-park","Media","/dog-parks/everett-crowley-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Falaise Park","falaise-park-dog-park","Media","/dog-parks/falaise-park-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Falaise Park","falaise-dog-park","Media","/dog-parks/falaise-park-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Falaise Park","falaise-dog-park-vancouver","Media","/dog-parks/falaise-park-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Fraser River Park","fraser-river-dog-park","Media","/dog-parks/fraser-river-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Fraserview Golf Course","fraserview-golf-course-vancouver","Media","/dog-parks/fraserview-golf-course-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Garnetwood Park","garnetwood-park","Media","/dog-parks/garnetwood-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b38a22145b4d4d0b563f_Garnetwood%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","George Park","george-dog-park-vancouver","Media","/dog-parks/george-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf905e0c4fbbb9bdd02a_dog-park-pathway-with-dog-and-trees.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Gerrard - Carlaw Parkette","gerrard-carlaw-parkette","Media","/dog-parks/gerrard-carlaw-parkette/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68432da8127fac1916644dbc_Parkland%20at%20Gerrard%20-%20Carlaw%20Parkette.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Glenashton Park","glenashton-park","Media","/dog-parks/glenashton-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/684045e99232f0bf0d68412f_glenashton-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Hadden Park","hadden-dog-park","Media","/dog-parks/hadden-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Hidden Valley Park","hidden-valley-park","Media","/dog-parks/hidden-valley-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a035efa039308d622d1c1_Hidden%20Valley%20Park%20%E2%80%93%20Leash-Free%20Dog%20Area.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Hinge Park (Southeast False Creek)","hinge-park-dog-park","Media","/dog-parks/hinge-park-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Jack Darling Park","jack-darling-park","Media","/dog-parks/jack-darling-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b47548f617dd5169f00b_Jack%20Darling%20Memorial%20Dog%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","John Hendry","john-hendry-dog-park","Media","/dog-parks/john-hendry-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Jones Park","jones-dog-park-vancouver","Media","/dog-parks/jones-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Killarney Park","killarney-park-dog-park","Media","/dog-parks/killarney-park-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","King Road","king-road","Media","/dog-parks/king-road/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/684096b18e8413c507ae722d_King%20Road%20Leash-Free%20Dog%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Kingcrest Park","kingcrest-dog-park-vancouver","Media","/dog-parks/kingcrest-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Kingsford Gardens","kingsford-gardens","Media","/dog-parks/kingsford-gardens/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840599c74e4cc86ef8305ff_Kingsford%20Gardens%20(Leash-Free%20Dog%20Area","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Lake Bonavista Off-Leash Area","lake-bonavista","Media","/dog-parks/lake-bonavista/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1b8891ec2f6888a679d6_lake-bonavista-off-leash-area-calgary-leash-free-dog-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Legacy Park","legacy-park","Media","/dog-parks/legacy-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683b1cf499d4134a28d42944_legacy-off-leash-area-calgary-leash-free-dog-park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Linkwood Lane Park","linkwood-lane-park","Media","/dog-parks/linkwood-lane-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841f1f136731e2cd913c20a_Linkwood%20Lane%20Park%20(Leash-Free%20Dog%20Area","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Locarno Beach Park","locarno-beach-dog-park-vancouver","Media","/dog-parks/locarno-beach-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfdbc135317971c008bc_dog-park-urban-setting-with-people-and-dogs.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Mattamy Sports Park","mattamy-sports-park","Media","/dog-parks/mattamy-sports-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840b0e999bdaee7108faf58_Mattamy%20Sports%20Park%27s%20.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Memorial Park","memorial-park","Media","/dog-parks/memorial-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68405b6ebe714937906fc5bf_Memorial%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Merrill Bridge Road Park","merrill-bridge-road-park","Media","/dog-parks/merrill-bridge-road-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6842da39f643bafba72e5f9b_Dogs%20off-leash%20area%20at%20Merrill%20Bridge%20Road%20Park.jpg","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Musqueam Park","musqueam-dog-park-vancouver","Media","/dog-parks/musqueam-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Nat Bailey Stadium Park","nat-bailey-stadium-dog-park","Media","/dog-parks/nat-bailey-stadium-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Nelson Park","nelson-dog-park","Media","/dog-parks/nelson-dog-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","New Brighton Park","new-brighton-dog-park-vancouver","Media","/dog-parks/new-brighton-dog-park-vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfcb959daf711b63b8f2_spacious-dog-park-with-trees-and-grass.jpg.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","New Brighton Park ","new-brighton-dog-park-vancouver-65262","Media","/dog-parks/new-brighton-dog-park-vancouver-65262/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6130c1a241f2ffa462_weimaraners-in-sunny-dog-park-grassy-field.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Norton Park","norton-park","Media","/dog-parks/norton-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a0441047625cebdeaa6de_Norton%20Park%20%E2%80%93%20Leash-Free%20Dog%20Area.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
"safe_to_launch_with_placeholder","Dog Parks","Nose Hill Park","nose-hill-park","Media","/dog-parks/nose-hill-park/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5bfde0b90cfb6b0ce67e_nose-hill-park.png","missing / none","No source media file matched this tracker row.","No launch-blocking action; review after preview QA."
